09135100-5;Πετρέλαιο θέρμανσης;
09135110-8;Καύσιμα έλαια μικρής περιεκτικότητας σε θείο;
09200000-1;Πετρέλαιο, άνθρακας και πετρελαιοειδή;
09210000-4;Λιπαντικά παρασκευάσματα;
09211000-1;Λιπαντικά έλαια και λιπαντικά μέσα;
09211100-2;Έλαια κινητήρων;
09211200-3;Λιπαντικά συμπιεστών;
09211300-4;Λιπαντικά στροβίλων;
09211400-5;Λιπαντικά κιβωτίων οδοντωτών τροχών;
09211500-6;Λιπαντικά συστημάτων υποπολλαπλασιασμού;
09211600-7;Λιπαντικά υδραυλικών συστημάτων και άλλων χρήσεων;
09211610-0;Υγρά υδραυλικών συστημάτων;
09211620-3;Λιπαντικά αφαίρεσης καλουπιών;
09211630-6;Αντιδιαβρωτικά έλαια;
09211640-9;Ηλεκτρομονωτικά έλαια;
09211650-2;Υγρά φρένων;
09211700-8;Λευκά έλαια και παραφινέλαια;
09211710-1;Λευκά έλαια;
09211720-4;Παραφινέλαια;
09211800-9;Πετρελαϊκά έλαια και παρασκευάσματα;
09211810-2;Ελαφρά έλαια;
09211820-5;Ορυκτέλαια;
09211900-0;Λιπαντικά έλαια συστημάτων έλξης;
09220000-7;Βαζελίνη, κεριά και ειδικά αποστάγματα;
09221000-4;Βαζελίνη και κηροί πετρελαίου;
09221100-5;Βαζελίνη;
09221200-6;Κηρός παραφίνης;
09221300-7;Κηρός πετρελαίου;
09221400-8;Κατάλοιπα πετρελαίου;
09222000-1;Ειδικά αποστάγματα;
09222100-2;Πετρελαϊκός αιθέρας (White spirit);
09230000-0;Πετρέλαιο (αργό);
09240000-3;Πετρελαϊκά προϊόντα και προϊόντα άνθρακα;
09241000-0;Ασφαλτούχο ή σχιστολιθικό ορυκτέλαιο;
09242000-7;Προϊόντα με βάση τον άνθρακα;
09242100-8;Πετρέλαιο από απόσταξη πισσανθράκων;
09300000-2;Ηλεκτρική, θερμαντική, ηλιακή και πυρηνική ενέργεια;
09310000-5;Ηλεκτρισμός;
09320000-8;Ατμός, θερμό νερό και συναφή προϊόντα;
09321000-5;Θερμό νερό;
09322000-2;Ατμός;
09323000-9;Κεντρική αστική θέρμανση;
09324000-6;Τηλεθέρμανση;
09330000-1;Ηλιακή ενέργεια;
09331000-8;Ηλιακά κάτοπτρα;
09331100-9;Ηλιακοί συλλέκττες για την παραγωγή θερμότητας;
09331200-0;Ηλιακά φωτοβολταϊκά στοιχεία;
09332000-5;Ηλιακές εγκαταστάσεις;
09340000-4;Πυρηνικά καύσιμα;
09341000-1;Ουράνιο;
09342000-8;Πλουτώνιο;
09343000-5;Ραδιενεργά υλικά;
09344000-2;Ραδιοϊσότοπα;
14000000-1;Εξορυκτικά προϊόντα, βασικά μέταλλα και συναφή προϊόντα;
14200000-3;’μμος και άργιλος;
14210000-6;Αμμοχάλικο, άμμος, λιθοτρίμματα και αδρανή υλικά;
14211000-3;’μμος;
14211100-4;Φυσική άμμος;
14212000-0;’μμος, λιθόκοκκοι, χαλίκι, λιθοτρίμματα και λιθόσκονη, κροκάλες, αμμοχάλικο, τεμαχισμένοι ή θρυμματισμένοι λίθοι, μείγματα αμμοχάλικου και άλλα αδρανή υλικά;
14212100-1;Κροκάλες και αμμοχάλικο;
14811000-9;Μυλόπετρες, ακονόπετρες και ακονιστικοί τροχοί;
14811100-0;Μυλόπετρες;
14811200-1;Ακονόπετρες;
14811300-2;Ακονιστικοί τροχοί;
15812121-7;Αλμυρές πίτες;
15812122-4;Γλυκές πίτες;
15812200-5;Γλυκά;
15813000-0;Εδέσματα προγεύματος;
15820000-2;Παξιμάδια και μπισκότα? διατηρημένα είδη ζαχαροπλαστικής και γλυκίσματα;
15821000-9;Φρυγανισμένα προϊόντα άρτου και είδη ζαχαροπλαστικής;
15821100-0;Φρυγανισμένα προϊόντα άρτου;
15821110-3;Φρυγανιές;
15821130-9;Τραγανό ψωμί;
15821150-5;Παξιμάδια;
15821200-1;Γλυκά μπισκότα;
15830000-5;Ζάχαρη και συναφή προϊόντα;
15831000-2;Ζάχαρη;
15831200-4;Λευκή ζάχαρη;
15831300-5;Ζάχαρη και σιρόπι σφενδάμου;
15831400-6;Μελάσα;
15831500-7;Σιρόπια ζάχαρης;
15831600-8;Μέλι;
15832000-9;Κατάλοιπα από την παραγωγή ζάχαρης;
15833000-6;Ζαχαρώδη προϊόντα;
15833100-7;Επιδόρπια;
15833110-0;Τάρτες;
15840000-8;Κακάο? προϊόντα σοκολατοποιίας και ζαχαροπλαστικής;
15841000-5;Κακάο;
15841100-6;Πολτός κακάου;
15841200-7;Βούτυρο, λίπος ή έλαιο κακάου;
15841300-8;Φυσική σκόνη κακάου;
15841400-9;Σκόνη κακάου με προσθήκη γλυκαντικών ουσιών;
15842000-2;Προϊόντα σοκολατοποιίας και ζαχαροπλαστικής;
15842100-3;Σοκολάτα;
15842200-4;Προϊόντα σοκολάτας;
15842210-7;Ρόφημα σοκολάτας;
15842220-0;Πλάκες σοκολάτας;
15842300-5;Προϊόντα ζαχαροπλαστικής;
15842310-8;Βρασμένα γλυκίσματα;
15842320-1;Μαντολάτο;
15842400-6;Φρούτα, ξηροί καρποί ή φλοιοί καρπών διατηρημένοι με ζάχαρη;
15850000-1;Προϊόντα ζυμαρικών;
15851000-8;Αλευρώδη προϊόντα;
15851100-9;Μη μαγειρεμένα ζυμαρικά;
15851200-0;Μαγειρεμένα ζυμαρικά και κουσκούς;
15851210-3;Μαγειρεμένα ζυμαρικά;
